setting,run,query_time,time_sim,fnA,fnA_prec,fnA_rec,fnB_prec,fnB_rec,fnC_prec,fnC_rec,fnA_tp,fnA_fp,fnA_tn,fnA_fn,fnB_tp,fnB_fp,fnB_tn,fnB_fn,fnC_tp,fnC_fp,fnC_tn,fnC_fn,resp,resp_prec,resp_rec,resp_tp,resp_fp,resp_tn,resp_fn,mal,mal_prec,mal_rec,mal_tp,mal_fp,mal_tn,mal_fn,memb,memb_prec,memb_rec,memb_tp,memb_fp,memb_tn,memb_fn
1,5,0:00:11.649084,14,0,0.5,0.15,0.21052631578947367,0.2,0.4,0.1,0,0,2,3,0,0,2,3,0,0,2,3,0,0.6666666666666666,0.2777777777777778,0,0,10,7,1,0.6666666666666666,0.43478260869565216,0,1,1,0,94,0.0,0.0,0,94,689,0
1,6,0:00:08.041624,0,1,,,,,,,0,1,9,0,0,3,7,0,0,1,9,0,1,,,0,1,14,0,1,,,0,1,7,7,0,,,0,0,216,9
1,6,0:00:07.915682,1,0,,,,,,,0,0,8,0,0,1,7,0,0,0,8,0,0,,,0,0,12,0,0,,,0,0,6,3,0,,,0,0,135,0
1,6,0:00:08.088735,2,0,,,,,,,0,0,6,0,0,1,5,0,0,0,6,0,0,,,0,0,11,0,0,,,0,0,6,1,0,,,0,0,113,0
1,6,0:00:07.595734,3,1,,,,,,,0,1,7,2,1,4,4,1,0,1,7,2,1,,,0,1,19,1,1,,,0,1,13,1,0,,,0,0,458,1
1,6,0:00:08.268473,4,0,,,,,,,0,0,6,1,0,1,5,1,0,0,6,1,0,,,0,0,16,2,0,,,0,0,7,1,0,,,0,0,370,0
1,6,0:00:07.788380,5,1,,,,,,,1,0,9,0,1,1,8,0,1,0,9,0,1,,,0,1,33,0,1,,,0,1,17,0,0,,,0,0,1086,6
1,6,0:00:07.503978,6,0,,,,,,,0,0,9,0,0,2,7,0,0,0,9,0,0,,,0,0,38,0,0,,,0,0,24,0,0,,,0,0,1524,0
1,6,0:00:09.413236,7,2,,,,,,,0,2,6,0,0,4,3,0,0,1,6,0,2,,,0,2,28,0,1,,,0,1,9,0,0,,,0,0,873,0
1,6,0:00:07.733767,8,1,,,,,,,0,1,7,0,0,1,7,0,0,0,8,0,1,,,0,1,27,0,1,,,0,1,7,0,0,,,0,0,1510,0
1,6,0:00:08.185763,9,0,,,,,,,0,0,6,2,0,0,6,2,0,0,6,2,0,,,0,0,19,8,0,,,0,0,5,0,0,,,0,0,985,0
1,6,0:00:08.137052,10,2,,,,,,,2,0,8,0,2,2,6,0,2,0,8,0,2,,,0,2,20,0,2,,,0,2,6,0,0,,,0,0,964,0
1,6,0:00:09.516218,11,1,,,,,,,0,1,3,2,0,2,2,2,0,1,3,2,2,,,0,2,30,0,2,,,2,0,4,0,2,,,2,0,1456,0
1,6,0:00:09.233894,12,2,,,,,,,2,0,4,1,2,0,4,1,0,0,4,3,0,,,0,0,11,7,0,,,0,0,1,0,2,,,0,2,581,0
1,6,0:00:10.104178,13,0,,,,,,,0,0,2,0,0,0,2,0,0,0,2,0,6,,,5,1,14,0,5,,,5,0,1,0,0,,,0,0,825,0
1,6,0:00:10.263551,14,0,0.45454545454545453,0.35714285714285715,0.20689655172413793,0.42857142857142855,0.42857142857142855,0.21428571428571427,0,0,6,1,0,1,5,1,0,0,6,1,0,0.3125,0.1724137931034483,0,0,12,6,0,0.5,0.35,0,0,0,0,20,0.08333333333333333,0.1111111111111111,0,20,420,0
1,7,0:00:07.458180,0,0,,,,,,,0,0,6,2,0,1,5,2,0,0,6,2,0,,,0,0,14,0,0,,,0,0,6,8,0,,,0,0,192,4
1,7,0:00:07.549348,1,2,,,,,,,0,2,6,1,0,2,6,1,0,2,6,1,2,,,0,2,12,0,2,,,0,2,5,3,0,,,0,0,177,3
1,7,0:00:07.949752,2,1,,,,,,,1,0,9,1,1,0,9,1,1,0,9,1,1,,,0,1,13,0,1,,,0,1,8,1,0,,,0,0,188,0
1,7,0:00:07.968186,3,0,,,,,,,0,0,8,4,0,1,7,4,0,0,8,4,0,,,0,0,30,1,0,,,0,0,18,0,0,,,0,0,870,2
1,7,0:00:07.509256,4,0,,,,,,,0,0,5,1,0,0,5,1,0,0,5,1,0,,,0,0,18,2,0,,,0,0,12,0,0,,,0,0,408,0
1,7,0:00:07.770676,5,0,,,,,,,0,0,11,0,0,2,9,0,0,0,11,0,0,,,0,0,28,0,0,,,0,0,11,0,0,,,0,0,803,0
1,7,0:00:07.981100,6,3,,,,,,,1,2,8,0,1,3,6,0,0,0,9,1,3,,,0,3,28,0,2,,,1,1,19,0,0,,,0,0,981,0
1,7,0:00:08.196380,7,2,,,,,,,0,2,6,2,0,3,5,2,0,2,6,2,2,,,0,2,34,0,0,,,0,0,11,1,2,,,0,2,1554,0
1,7,0:00:07.857635,8,0,,,,,,,0,0,7,2,0,0,7,2,0,0,7,2,0,,,0,0,20,3,2,,,0,2,3,0,4,,,0,4,849,0
1,7,0:00:08.369549,9,2,,,,,,,1,1,3,1,1,1,3,1,1,0,4,1,1,,,1,0,20,3,0,,,0,0,7,0,0,,,0,0,929,0
1,7,0:00:08.489073,10,0,,,,,,,0,0,7,1,0,0,7,1,0,0,7,1,1,,,0,1,23,2,1,,,0,1,6,0,0,,,0,0,1132,0
1,7,0:00:09.287721,11,1,,,,,,,1,0,5,1,1,1,4,1,1,0,5,1,1,,,1,0,26,0,0,,,0,0,4,0,0,,,0,0,1300,0
1,7,0:00:09.953395,12,1,,,,,,,1,0,4,1,1,0,4,1,0,0,4,2,0,,,0,0,14,5,1,,,1,0,2,0,2,,,2,0,610,0
1,7,0:00:10.457598,13,2,,,,,,,1,1,6,1,1,2,5,1,1,1,6,1,7,,,5,2,20,0,5,,,5,0,2,0,0,,,0,0,738,0
1,7,0:00:11.595815,14,1,0.4,0.23076923076923078,0.25,0.23076923076923078,0.4444444444444444,0.15384615384615385,0,1,7,2,0,2,6,2,0,0,8,2,0,0.3888888888888889,0.2692307692307692,0,0,17,3,2,0.4375,0.35,0,2,1,0,30,0.05263157894736842,0.18181818181818182,0,30,885,0
1,8,0:00:07.461014,0,0,,,,,,,0,0,9,0,0,2,7,0,0,0,9,0,0,,,0,0,13,0,0,,,0,0,7,6,0,,,0,0,168,1
1,8,0:00:07.710881,1,1,,,,,,,0,1,7,2,0,2,6,2,0,1,7,2,1,,,0,1,16,0,1,,,0,1,7,5,0,,,0,0,270,3
1,8,0:00:07.500929,2,0,,,,,,,0,0,8,0,0,2,6,0,0,0,8,0,0,,,0,0,17,0,0,,,0,0,13,1,0,,,0,0,284,0
1,8,0:00:07.806930,3,0,,,,,,,0,0,7,1,0,1,6,1,0,0,7,1,0,,,0,0,22,1,0,,,0,0,15,0,0,,,0,0,521,0
1,8,0:00:07.508990,4,0,,,,,,,0,0,7,0,0,0,7,0,0,0,7,0,0,,,0,0,23,0,0,,,0,0,12,0,0,,,0,0,608,0
1,8,0:00:07.553919,5,1,,,,,,,0,1,5,0,0,1,5,0,0,1,5,0,1,,,0,1,20,0,1,,,0,1,13,0,0,,,0,0,646,0
1,8,0:00:07.677008,6,0,,,,,,,0,0,4,1,0,1,3,1,0,0,4,1,0,,,0,0,14,0,0,,,0,0,4,1,0,,,0,0,359,0
1,8,0:00:07.555921,7,0,,,,,,,0,0,7,0,0,1,6,0,0,0,7,0,0,,,0,0,29,0,0,,,0,0,10,0,0,,,0,0,1184,0
1,8,0:00:07.510831,8,0,,,,,,,0,0,8,1,0,2,6,1,0,0,8,1,0,,,0,0,31,0,0,,,0,0,13,0,0,,,0,0,1441,0
1,8,0:00:07.898520,9,1,,,,,,,1,0,4,3,2,0,4,2,1,0,4,3,1,,,0,1,22,5,1,,,0,1,9,0,0,,,0,0,1495,0
1,8,0:00:07.577242,10,0,,,,,,,0,0,6,0,0,0,6,0,0,0,6,0,0,,,0,0,24,0,0,,,0,0,4,0,0,,,0,0,844,0
1,8,0:00:06.799236,11,1,,,,,,,0,1,6,0,0,1,6,0,0,1,6,0,1,,,0,1,22,0,1,,,0,1,6,0,0,,,0,0,954,0
1,8,0:00:06.669002,12,0,,,,,,,0,0,5,1,1,3,2,0,0,0,5,1,0,,,0,0,17,7,0,,,0,0,4,0,0,,,0,0,874,0
1,8,0:00:06.694606,13,0,,,,,,,0,0,2,1,0,0,2,1,0,0,2,1,0,,,0,0,18,0,0,,,0,0,1,0,0,,,0,0,571,0
1,8,0:00:07.002586,14,0,0.25,0.08333333333333333,0.15789473684210525,0.25,0.25,0.08333333333333333,0,0,8,1,0,0,8,1,0,0,8,1,0,0.0,0.0,0,0,17,8,0,0.0,0.0,0,0,1,0,0,,0.0,0,0,807,0
1,9,0:00:06.814169,0,0,,,,,,,0,0,8,0,0,1,7,0,0,0,8,0,0,,,0,0,11,0,0,,,0,0,6,5,0,,,0,0,120,1
1,9,0:00:06.764829,1,0,,,,,,,0,0,6,1,0,3,3,1,0,0,6,1,0,,,0,0,8,2,0,,,0,0,5,3,0,,,0,0,93,3
1,9,0:00:06.814861,2,2,,,,,,,1,1,11,1,1,8,4,1,1,1,11,1,2,,,0,2,33,0,2,,,0,2,25,3,0,,,0,0,1202,4
1,9,0:00:06.752974,3,0,,,,,,,0,0,8,0,0,0,8,0,0,0,8,0,0,,,0,0,26,0,0,,,0,0,16,2,0,,,0,0,738,0
1,9,0:00:07.075484,4,0,,,,,,,0,0,6,0,0,1,5,0,0,0,6,0,0,,,0,0,27,0,0,,,0,0,12,0,0,,,0,0,740,2
1,9,0:00:06.619060,5,2,,,,,,,0,2,7,2,0,1,6,2,0,0,7,2,2,,,0,2,28,0,2,,,0,2,10,0,0,,,0,0,892,2
1,9,0:00:06.799268,6,1,,,,,,,0,1,3,0,0,1,3,0,0,1,3,0,1,,,0,1,20,0,1,,,0,1,9,0,0,,,0,0,738,0
1,9,0:00:08.126734,7,0,,,,,,,0,0,7,1,0,2,5,1,0,0,7,1,0,,,0,0,24,3,0,,,0,0,7,0,0,,,0,0,1107,4
